word,frequency,pos,example_sentence
जो,628.0,CONJUNCTION,"वह लड़का जो दौड़ रहा है, मेरा भाई है।"
अपनी,621.0,PRON,उसने अपनी किताब खोज ली है।
थे,620.0,VERB,वे उस समय यहाँ थे।
घर,618.0,NOUN,यह मेरा घर है।
करने,613.0,VERB,मुझे वहाँ जाने का काम करने की जरूरत है।
कविता,599.0,NOUN,उसकी कविता बहुत सुन्दर है।
लिखिए,589.0,VERB,कृपया अपनी प्रतिक्रिया लिखिए।
करते,566.0,VERB,वह रोज सुबह योग करते हैं।
इन,553.0,PRON,इन पुस्तकों को यहाँ रखो।
कोई,539.0,PRON,क्या यहाँ कोई समस्या है?
बात,537.0,NOUN,यह हमारे बीच की बात है।
दिए,524.0,VERB,उसने किताबें वापस दिए।
हुए,519.0,VERB,वह अपने प्रयासों में सफल हुए।
थी,516.0,VERB,वह स्कूल में अध्यापिका थी।
रहा,514.0,VERB,वह वहां एक घंटे तक खड़ा रहा।
कक्षा,508.0,NOUN,कक्षा में बहुत से छात्र थे।
कहानी,507.0,NOUN,उसने बहुत दिलचस्प कहानी सुनाई।
वे,502.0,PRON,वे मेरे दोस्त हैं।
बहुत,493.0,ADV,आजकल बहुत ठंड है।
अब,486.0,ADV,मैं अब घर जा रहा हूँ।
क्यों,484.0,ADV,तुमने ऐसा क्यों किया?
हूँ,481.0,VERB,मैं स्कूल में पढ़ता हूँ।
पुस्तक,480.0,NOUN,लाइब्रेरी से नई पुस्तक ली।
शब्दों,479.0,NOUN,उनके शब्दों में जादू था।
तक,476.0,POSTPOSITION,मैं रात के नौ बजे तक काम करूंगा।
दो,474.0,NOUN,दो छात्रों ने पुरस्कार जीता।
हम,469.0,PRON,हम कल फिल्म देखने जाएंगे।
नाम,468.0,NOUN,उसका नाम रोहन है।
एवं,464.0,CONJUNCTION,वह हिंदी एवं अंग्रेजी पढ़ता है।
समय,455.0,NOUN,समय नहीं रुकता।
रहे,442.0,VERB,वे हमारे साथ रहेंगे।
जाता,430.0,VERB,वह वहाँ रोज़ जाता है।
किया,425.0,VERB,उसने अपना काम पूरा किया।
किसी,423.0,PRON,मैंने किसी को बाहर खड़ा देखा।
जैसे,420.0,CONJUNCTION,जैसे वह कहता है वैसे करो।
उनके,418.0,PRON,उनके पास कई पुस्तकें हैं।
दी,410.0,VERB,उसने मुझे कलम दी।
सकते,406.0,VERB,हम उसे मना सकते हैं।
उसे,390.0,PRON,उसे इस बारे में जानकारी नहीं है।
आपको,390.0,PRON,मैं आपको बाद में कॉल करूंगा।
उस,387.0,PRON,उस व्यक्ति को मैंने पहले देखा है।
रूप,387.0,NOUN,रूप रंग मायने नहीं रखते।
कहा,382.0,VERB,उसने मुझसे कहा कि वह आएगा।
फिर,380.0,ADV,हम लंच के बाद फिर मिलेंगे।
उत्तर,375.0,NOUN,प्रश्न का सही उत्तर बताइए।
हुआ,374.0,VERB,यह कैसे हुआ?
सी,371.0,POSTPOSITION,वह किताब हिंदी में सी है।
पाठ,368.0,NOUN,आज का पाठ इतिहास पर है।
तरह,361.0,NOUN,उसने तरह-तरह की मिठाइयां बनाई।
स्थ,361.0,ADJ,यह एक स्थ संभव व्यापार है।
बच्चों,358.0,NOUN,बच्चों की पढ़ाई महत्वपूर्ण है।
आदि,356.0,CONJUNCTION,"सेब, केले, अंगूर आदि फल हैं।"
वाले,355.0,ADJ,वो दरवाजा खोलने वाले लड़का है।
खेल,351.0,NOUN,हमने एक मजेदार खेल खेला।
होता,349.0,VERB,यह अक्सर होता है।
जब,348.0,CONJUNCTION,जब मैं घर पहुँचूँगा तब बताऊंगा।
जी,348.0,INTERJECTION,"जी, आपकी बात सही है।"
पंक्ति,346.0,NOUN,इस पंक्ति का क्या अर्थ है?
रही,346.0,VERB,वह पुस्तक पढ़ रही है।
पानी,342.0,NOUN,पानी जीवन के लिए आवश्यक है।
उन्हें,339.0,PRON,मैंने उन्हें कॉल किया।
समूह,337.0,NOUN,समूह में काम करना अच्छा होता है।
दिया,332.0,VERB,उसने मुझे एक उपहार दिया।
भाषा,331.0,NOUN,हिंदी हमारी मातृ भाषा है।
अर्थ,326.0,NOUN,हर शब्द का एक अर्थ होता है।
प्रश्न,324.0,NOUN,शिक्षक ने कठिन प्रश्न पूछा।
जा,315.0,VERB,वह बाजार जा रहा है।
प्रयोग,314.0,NOUN,इस शब्द का सही प्रयोग करो।
चित्र,313.0,NOUN,दीवार पर एक सुंदर चित्र लगा है।
आपके,312.0,PRON,आपके विचार बहुत महत्वपूर्ण हैं।
कैसे,308.0,ADV,तुमने यह कैसे किया?
दोनों,305.0,PRON,दोनों दोस्त खेल रहे हैं।
मुझे,305.0,PRON,मुझे एक नई किताब चाहिए।
देश,304.0,NOUN,भारत मेरा देश है।
दिन,303.0,NOUN,आज का दिन बहुत अच्छा है।
वाक्य,301.0,NOUN,उसका वाक्य बहुत कठिन है।
सब,301.0,PRON,सब लोग तैयार हैं।
मन,299.0,NOUN,उसका मन उदास है।
पास,297.0,POSTPOSITION,उसका घर मेरे पास है।
ये,297.0,PRON,ये किताबें बहुत अच्छी हैं।
यहाँ,293.0,ADV,हम यहाँ आराम से बैठ सकते हैं।
कभी,292.0,ADV,मैं कभी-कभी वहां जाता हूँ।
समझ,286.0,VERB,मैं इस प्रश्न को पूरी तरह से समझ गया।
ध्यान,284.0,NOUN,कृपया ध्यान से सुनो।
सं,279.0,CONJUNCTION,राम और मोहन सं मिलकर काम करते हैं।
आपने,278.0,PRON,आपने मेरा काम आसान कर दिया।
करना,277.0,VERB,क्या तुम मेरे लिए यह काम करना चाहोगे?
काम,275.0,NOUN,मुझे आज बहुत सारा काम करना है।
प्रकार,273.0,NOUN,यह एक नया प्रकार का फोन है।
चर्चा,273.0,NOUN,हमारी चर्चा बहुत उपयोगी थी।
भारत,272.0,NOUN,भारत एक विशाल देश है।
ऐसे,271.0,ADV,ऐसे हालात में धैर्य रखना जरूरी है।
शिक्षा,270.0,NOUN,शिक्षा का महत्व बहुत अधिक है।
सा,270.0,ADJ,उसका चेहरा चाँद सा सुंदर है।
माँ,269.0,NOUN,माँ की ममता अनमोल होती है।
सभी,267.0,PRON,सभी लोग वहां इकट्ठा हो गए थे।
होगा,263.0,VERB,वो बैठक कल होगी।
आगे,263.0,ADV,हमें आगे का रास्ता मालूम नहीं है।
सहायता,261.0,NOUN,कृपया मेरी सहायता करें।
रंग,259.0,NOUN,यह रंग बहुत सुंदर है।
बारे,259.0,POSTPOSITION,इस विषय के बारे में चर्चा करें।
बनाइए,258.0,VERB,कृपया मेरा एक चित्र बनाइए।
बार,258.0,NOUN,मैं इस जगह पर पहली बार आया हूँ।
उसके,255.0,PRON,उसके पास बहुत सारी पुस्तकें हैं।
मेरे,253.0,PRON,मेरे पास एक नई घड़ी है।
वि,252.0,CONJUNCTION,राम वि मोहन दोनों अच्छे लड़के हैं।
उन,251.0,PRON,उन दोनों में गहरी दोस्ती है।
होते,250.0,VERB,वे हमेशा साथ होते हैं।
यदि,250.0,CONJUNCTION,"यदि तुम चाहो, तो हम जा सकते हैं।"
आज,249.0,ADV,आज मौसम बहुत सुहाना है।
जीवन,247.0,NOUN,जीवन एक संघर्ष है।
करें,245.0,VERB,"आप जो भी काम करें, मन से करें।"
ले,245.0,VERB,कृपया मेरी पुस्तक ले लो।
तथा,242.0,CONJUNCTION,राम तथा श्याम खेल रहे हैं।
देखा,241.0,VERB,मैंने एक सुंदर सपना देखा।
होती,240.0,VERB,वह रोज समय से पहले आती होती।
पहले,240.0,ADV,पहले समय पर आना आवश्यक है।
नई,240.0,ADJ,उसने मुझे एक नई किताब दी।
अलग,240.0,ADJ,वह एक अलग तरह की लड़की है।
जाते,236.0,VERB,हम हर रविवार पार्क में जाते हैं।
जाने,235.0,VERB,आपको यह बात जाननी जरूरी है।
अन्य,235.0,ADJ,अन्य छात्र भी इस यात्रा पर जाएंगे।
ऐसा,234.0,ADJ,"ऐसा क्यों हुआ, इसका पता करो।"
लिख,232.0,VERB,कृपया अपने विचार लिख दो।
बताइए,231.0,VERB,मुझे इस विषय के बारे में बताइए।
संकेत,227.0,NOUN,उसने मुझे रास्ते का संकेत दिया।
कारण,226.0,NOUN,इस परिस्थिति का कारण क्या है?
पता,224.0,NOUN,मुझे उसका पता मालूम नहीं है।
सकता,219.0,VERB,वह यह काम कर सकता है।
लोग,216.0,NOUN,गाँव के सारे लोग वहाँ इकट्ठा हुए।
उनकी,215.0,PRON,उनकी गाड़ी बहुत सुंदर है।
बाद,214.0,POSTPOSITION,खाना खाने के बाद पढ़ाई करो।
अधिक,211.0,ADJ,अधिक जानकारी के लिए संपर्क करें।
सही,210.0,ADJ,इस प्रश्न का सही उत्तर क्या है?
अनेक,209.0,ADJ,अनेक लोग इस कार्य में भाग ले रहे हैं।
वीणा,209.0,NOUN,उसने वीणा पर मधुर संगीत बजाया।
बच्चे,209.0,NOUN,बच्चे पार्क में खेल रहे हैं।
विषय,208.0,NOUN,मेरे पसंदीदा विषय गणित है।
किस,206.0,PRON,किस किताब की चर्चा हो रही है?
थीं,205.0,VERB,वह दो दिन पहले यहाँ थीं।
इसके,203.0,PRON,इसके बाद हमें घर जाना होगा।
बातचीत,202.0,NOUN,उनकी बातचीत बहुत रोचक थी।
स्थान,202.0,NOUN,हम इस स्थान पर पहले भी आए हैं।
मेरी,201.0,PRON,मेरी पुस्तक कहाँ है?
वहाँ,200.0,ADV,वहाँ बहुत शांति थी।
होने,195.0,VERB,यहाँ एक बड़ा मेला होने वाला है।
हिंदी,193.0,NOUN,हिंदी एक सुंदर भाषा है।
यों,192.0,ADV,वह यों ही चला गया।
विश्व,190.0,NOUN,यह विश्व बहुत विशाल है।
आया,189.0,VERB,वह जल्दी घर आया।
अपना,189.0,PRON,अपना सामान यहाँ रखो।
उन्होंने,188.0,PRON,उन्होंने पूरी कहानी सुनी।
कार्य,188.0,NOUN,हमारा कार्य अभी पूरा नहीं हुआ है।
राजा,188.0,NOUN,वह अपने राज्य का राजा था।
तुम,188.0,PRON,तुम कहाँ जा रहे हो?
गंगा,187.0,NOUN,गंगा एक पवित्र नदी है।
द्वारा,187.0,POSTPOSITION,यह पुस्तक राम द्वारा लिखी गई है।
लगा,187.0,VERB,मुझे लगा कि बारिश होने वाली है।
भाव,186.0,NOUN,उसके चेहरे पर खुशी का भाव था।
लेकिन,183.0,CONJUNCTION,मैं वहाँ गया था लेकिन वह नहीं था।
हुई,183.0,VERB,कल रात बहुत बारिश हुई।
उदाहरण,183.0,NOUN,"उदाहरण के लिए, यह वाक्य देखें।"
सबसे,181.0,NOUN,हमारे स्कूल का सबसे अच्छा छात्र वह है।
अनुभव,180.0,NOUN,अनुभव से सीखना बहुत महत्वपूर्ण है।
हार,180.0,NOUN,मैंने उस मैच में हार का सामना किया।
मेरा,180.0,PRON,मेरा प्रिय रंग नीला है।
करके,179.0,POSTPOSITION,मैंने पढ़ाई करके परीक्षा पास की।
चाहिए,178.0,VERB,मुझे इस काम के लिए मदद चाहिए।
दे,178.0,VERB,कृपया मुझे पानी दे दो।
नृत्य,178.0,NOUN,उसकी नृत्य कला बहुत प्रसिद्ध है।
हमारे,177.0,PRON,हमारे घर के पास एक बगीचा है।
दूसरे,177.0,ADJ,दूसरे लोग भी इस पार्टी में आएंगे।
जाती,173.0,VERB,वह रोज सुबह स्कूल जाती है।
स्थित,172.0,ADJ,यह कॉलेज शहर के केंद्र में स्थित है।
ऐसी,172.0,ADJ,ऐसी फिल्में बहुत प्रेरणादायक होती हैं।
तब,171.0,ADV,"मैं तैयार नहीं था, और तब बारिश शुरू हो गई।"
शिक्षण,171.0,NOUN,शिक्षण का सही तरीका छात्रों के लिए फायदेमंद है।
चाँद,171.0,NOUN,चाँद रात में बहुत सुंदर लगता है।
करता,170.0,VERB,वह रोज सुबह व्यायाम करता है।
मिलकर,168.0,VERB,हम अगले हफ्ते मिलकर काम करेंगे।
पत्र,163.0,NOUN,मुझे पत्र लिखना बहुत पसंद है।
टी,163.0,NOUN,सर्दियों में गर्म टी पीने का मजा ही कुछ और है।
लेखन,162.0,NOUN,लेखन कला का विकास आवश्यक है।
कई,162.0,ADJ,कई बच्चे पार्क में खेल रहे हैं।
तीन,161.0,ADJ,मेरे पास तीन किताबें हैं।
बड़े,161.0,ADJ,यह बड़े आकार का कमरा है।
मैंने,161.0,PRON,मैंने नई किताब खरीदी है।
विचार,161.0,NOUN,इस विषय पर तुम्हारे विचार क्या हैं?
करती,161.0,VERB,वह प्रतिदिन योग करती है।
उसने,161.0,PRON,उसने सभी समस्याएं हल कर दीं।
हमें,160.0,PRON,हमें अपने देश से प्यार है।
मित्र,159.0,NOUN,मेरा मित्र बहुत अच्छा है।
प्र,158.0,INTERJECTION,"प्र, क्या आप मदद कर सकते हैं?"
वाला,158.0,ADJ,वह मेहनत वाला व्यक्ति है।
पेड़,157.0,NOUN,हमारे गार्डन में एक विशाल पेड़ है।
अवसर,157.0,NOUN,उसके पास करियर बनाने का अच्छा अवसर है।
ऊपर,156.0,POSTPOSITION,पक्षी आसमान में ऊपर उड़ रहे हैं।
कहाँ,154.0,ADV,तुम कहाँ जा रहे हो?
पढ़िए,153.0,VERB,कृपया इस किताब को ध्यान से पढ़िए।
हर,153.0,ADJ,हर रोज सैर करना लाभदायक है।
विशेष,152.0,ADJ,आज का दिन विशेष है।
देखकर,152.0,VERB,उसने तस्वीर देखकर बहुत खुश हुई।
फूल,150.0,NOUN,फूलों का बगीचा बहुत सुंदर है।
उसका,149.0,PRON,उसका घर बहुत बड़ा है।
लगता,148.0,VERB,मुझे यह काम आसान लगता है।
बड़ा,148.0,ADJ,यह मकान काफी बड़ा है।
कहते,145.0,VERB,लोग उसे अच्छा नेता कहते हैं।
बाहर,145.0,ADV,बच्चे बाहर खेल रहे हैं।
लोगों,144.0,NOUN,लोगों की भीड़ बाजार में थी।
जाना,144.0,VERB,मुझे अब घर जाना है।
व्यक्त,144.0,VERB,उसने अपने विचार स्पष्ट रूप से व्यक्त किए।
जाए,144.0,VERB,वह चाहता है कि वह यात्रा पर जाए।
जल,143.0,NOUN,जल जीवन का आधार है।
उपयोग,142.0,NOUN,इस मशीन का उपयोग आसान है।
राह,141.0,NOUN,सफलता की राह कठिन होती है।
कल्पना,141.0,NOUN,कल्पना के बिना विज्ञान अधूरा है।
व,140.0,CONJUNCTION,राम व श्याम अच्छे दोस्त हैं।
आपकी,140.0,PRON,आपकी किताब मेज़ पर है।
रामस्वरूप,138.0,ADJ,रामस्वरूप मंदिर बहुत प्रसिद्ध है।
दूर,137.0,ADV,वो गाँव शहर से दूर है।
देने,137.0,VERB,उन्होंने अपना समय देने का वादा किया।
हाथ,136.0,NOUN,मेरे हाथ में चोट लग गई है।
हाँ,135.0,INTERJECTION,"हाँ, मैं आपकी बात समझता हूँ।"
बड़ी,135.0,ADJ,यह बहुत बड़ी समस्या है।
परिषद्,135.0,NOUN,परिषद् की बैठक कल होगी।
मल्हार,133.0,NOUN,मल्हार एक प्रसिद्ध राग है।
आनंद,133.0,NOUN,इस संगीत का आनंद लें।
भर,133.0,POSTPOSITION,वे दिन भर काम करते रहे।
दिल्ली,132.0,NOUN,दिल्ली भारत की राजधानी है।
होंगे,132.0,VERB,वो कल यहाँ होंगे।
ति,132.0,NOUN,यह ति अर्थ का हिस्सा है।
देते,132.0,VERB,वो मुझे हमेशा सलाह देते हैं।
बातें,132.0,NOUN,उनकी बातें बहुत ज्ञानवर्धक थीं।
अच्छा,132.0,ADJ,यह एक अच्छा सुझाव है।
लेखक,132.0,NOUN,वह एक प्रसिद्ध लेखक हैं।
लेकर,131.0,VERB,वह किताब लेकर चला गया।
इसे,131.0,PRON,इसे मुझे दो।
प्रति,130.0,POSTPOSITION,उसका प्रति पन्ना महत्वपूर्ण था।
शय,129.0,NOUN,यह शय झील के बगल में है।
रात,129.0,NOUN,रात को चाँदनी छाई रहती है।
जहाँ,127.0,CONJUNCTION,जहाँ चाह वहाँ राह।
पूरा,127.0,ADJ,पूरा दिन व्यर्थ गया।
संगीत,127.0,NOUN,संगीत सभी को पसंद आता है।
आधार,126.0,NOUN,भाषा संवाद का आधार है।
पीछे,126.0,POSTPOSITION,बैल गाड़ी के पीछे चल रहा था।
नों,126.0,ADV,उन्होंने जल्दी नों पकड़ा।
विद्यालय,126.0,NOUN,विद्यालय की छुट्टियाँ शुरू हो गई हैं।
सामने,126.0,POSTPOSITION,घर के सामने बगीचा है।
तैयार,126.0,ADJ,कपड़े पहनकर तैयार हो जाओ।
चुनकर,125.0,VERB,उसने अपनी पसंद की मिठाई चुनकर ली।
उनका,125.0,PRON,उनका घर बहुत सुंदर है।
केवल,125.0,ADV,यह केवल एक शुरुआत है।
स्तंभ,125.0,NOUN,यह अखबारों का स्तंभ है।
उसकी,125.0,PRON,उसकी किताब बहुत दिलचस्प है।
किन,124.0,PRON,किन किताबों को पढ़ना चाहिए?
कवि,124.0,NOUN,यह कवि का नया काव्य संग्रह है।
छोटे,124.0,ADJ,छोटे बच्चों को संभालना कठिन होता है।
विभाग,124.0,NOUN,वित्त विभाग की बैठक आज है।
ली,124.0,VERB,उसने निर्णय ले लिया।
राष्ट्रीय,124.0,ADJ,राष्ट्रीय खेलों का आयोजन कल होगा।
शिक्षक,124.0,NOUN,हमारे शिक्षक बहुत ज्ञानी हैं।
दीजिए,123.0,VERB,कृपया मुझे यह कलम दीजिए।
मुँह,123.0,NOUN,उसके मुँह से ऐसी उम्मीद नहीं थी।
निबंध,123.0,NOUN,उसने हिंदी निबंध प्रतियोगिता में भाग लिया।
नए,123.0,ADJ,हमने नए कपड़े खरीदे।
इन्हें,122.0,PRON,इन्हें मैं नहीं जानता।
गीत,122.0,NOUN,उसका पसंदीदा गीत कौन सा है?
अंतर,122.0,NOUN,इस काम में गुणवत्ता में अंतर है।
स्वयं,121.0,PRON,स्वयं की मदद स्वयं करनी चाहिए।
न,121.0,ADV,कृपया न बोलें।
लगे,121.0,VERB,वह काम करने में बहुत लगे हैं।
कहीं,120.0,ADV,कहीं तुमने अपनी चाबी तो नहीं खो दी?
सुंदर,120.0,ADJ,वह बहुत सुंदर तस्वीर थी।
कब,119.0,ADV,हम कब मिल सकते हैं?
फल,118.0,NOUN,फल सेहत के लिए अच्छे होते हैं।
अध्यक्ष,118.0,NOUN,अध्यक्ष ने सभा को संबोधित किया।
इसी,118.0,PRON,मैं इसी किताब की बात कर रहा था।
भाई,118.0,NOUN,मेरा भाई मेरे साथ खेलता है।
सूर्य,117.0,NOUN,सूर्य आज बहुत चमक रहा है।
हवा,116.0,NOUN,सुबह की हवा ताज़ा होती है।
यात्रा,116.0,NOUN,हमारी शिमला की यात्रा अच्छी रही।
प्रसिद्ध,115.0,ADJ,वह लेखक बहुत प्रसिद्ध है।
वस्तु,115.0,NOUN,यह वस्तु बहुत महंगी है।
संदर्भ,115.0,NOUN,कृपया संदर्भ सही ढंग से दें।
पहेली,114.0,NOUN,उसने कठिन पहेली हल की।
हमारा,114.0,PRON,हमारा मकसद साफ है।
वर्षा,113.0,NOUN,वर्षा के मौसम में सब कुछ हराभरा हो जाता है।
दृष्टि,113.0,NOUN,उसकी दृष्टि बहुत तेज़ है।
बीच,113.0,POSTPOSITION,वह दो पेड़ों के बीच खड़ा है।
उपयुक्त,113.0,ADJ,यही उपाय उपयुक्त है।
वाली,113.0,ADJ,वह गाना गाने वाली लड़की है।
बना,112.0,VERB,यह पुल तीन साल में बना।
भाग,112.0,NOUN,उसने खेल के हर भाग में हिस्सा लिया।
वाक्यों,112.0,NOUN,वह हिंदी वाक्यों का अभ्यास कर रहा है।
ठीक,111.0,ADJ,आपका सुझाव ठीक है।
चार,111.0,ADJ,मुझे चार किताबें चाहिए।
पुस्तिका,110.0,NOUN,उसने नई पुस्तिका खरीदी है।
परिवार,110.0,NOUN,मेरा परिवार बहुत प्यारा है।
रचना,110.0,NOUN,उसने सुंदर रचना की।
पिताजी,110.0,NOUN,मेरे पिताजी बहुत समझदार हैं।
महत्वपूर्ण,110.0,ADJ,यह मुद्दा बहुत महत्वपूर्ण है।
सिंह,109.0,NOUN,सिंह जंगल का राजा है।
मुख्य,109.0,ADJ,वह मुख्य कारण है।
अनुमान,109.0,NOUN,उसका अनुमान सही था।
याद,108.0,NOUN,मुझे उसकी बात याद है।
संवाद,108.0,NOUN,उनके बीच अच्छा संवाद हुआ।
होकर,107.0,VERB,वह डॉक्टर होकर भी विनम्र है।
समाज,106.0,NOUN,हमारा समाज विविधताओं से भरा है।
अनुसार,105.0,POSTPOSITION,उसके कहे अनुसार उसने काम किया।
पढ़ने,105.0,VERB,वह रोज़ किताब पढ़ने बैठता है।
मत,105.0,NOUN,आपका मत महत्वपूर्ण है।
दि,104.0,VERB,उसने उसे पुस्तक दि।
देता,104.0,VERB,वह रोज़ दूसरों की मदद करता और खुशी से देता है।
मि,104.0,NOUN,उसका नाम मि शर्मा है और वह बड़े दिलवाला इंसान है।
ध,103.0,NOUN,ध का उपयोग संस्कृत ग्रंथों में होता है।
महाराज,103.0,NOUN,महाराज ने प्रजा के लिए एक बड़ा भोज आयोजित किया।
होना,102.0,VERB,उसके लिए यह सुनिश्चित करना जरूरी है कि सब कुछ ठीक होना चाहिए।
अभी,102.0,ADV,अभी बारिश शुरू हुई है और मौसम बहुत सुहावना हो गया।
भारतीय,102.0,ADJ,भारतीय संस्कृति विश्व में प्रसिद्ध है।
पसंद,102.0,VERB,मुझे यह गाना बहुत पसंद है।
अगर,101.0,CONJUNCTION,"अगर आज बारिश होती है, तो हम बाहर नहीं जाएंगे।"
पुस्तकालय,101.0,NOUN,पुस्तकालय में हजारों किताबें उपलब्ध हैं।
आने,101.0,VERB,वह अगले हफ्ते आने वाला है।
बस,101.0,NOUN,मैं रोज़ बस से स्कूल जाता हूँ।
बनाने,100.0,VERB,उसने मेरे लिए स्वादिष्ट लड्डू बनाने का वादा किया।
खाने,100.0,NOUN,खाने की खुशबू पूरे घर में फैल गई।
पाँच,100.0,NOUN,मेरे पास पाँच किताबें हैं जो मुझे पढ़नी हैं।
कम,100.0,ADJ,आजकल पानी बहुत कम हो गया है।
प्रोफेसर,99.0,NOUN,प्रोफेसर ने हमें एक नया प्रोजेक्ट दिया है।
साझा,99.0,VERB,हमने अपनी ज्ञान साझा किया और एक दूसरे की मदद की।
लगी,99.0,VERB,मुझे यह फिल्म बहुत अच्छी लगी।
पाठ्यपुस्तक,99.0,NOUN,पाठ्यपुस्तक में कई महत्वपूर्ण विषय हैं।
पा,99.0,VERB,उसने परीक्षा में अच्छे अंक पा लिए।
इसका,99.0,PRON,इसका उत्तर सही है।
देख,99.0,VERB,देख समुन्दर की गहराई कितनी अद्भुत है।
रष,99.0,NOUN,रष का अर्थ विशेष रूप से वैज्ञानिक दृष्टिकोण में है।
विद्यार्थियों,98.0,NOUN,विद्यार्थियों को प्रोजेक्ट के बारे में निर्देश दिए गए।
लगाइए,98.0,VERB,कृत्रिम पौधों को इस जगह पर लगाइए।
देना,98.0,VERB,उसने मुझे समय पर पैसे देने का वादा किया।
अंत,97.0,NOUN,फिल्म का अंत बहुत ही रोचक था।
पेड़,97.0,NOUN,इस बाग में बहुत से छोटे-बड़े पेड़ हैं।
इसलिए,96.0,CONJUNCTION,वह बीमार है इसलिए आज स्कूल नहीं आएगी।
धीरे,96.0,ADV,गाड़ी धीरे चलाने से दुर्घटना की संभावना कम होती है।
दिखाई,96.0,VERB,वह दूर से दिखाई दे रहा है।
करेंगे,95.0,VERB,हम अगले महीने कश्मीर की यात्रा करेंगे।
कुमार,95.0,NOUN,कुमार एक मेहनती छात्र हैं और वह हमेशा अच्छे अंक लाता है।
इकाई,94.0,NOUN,प्रत्येक कक्षा का एक मुख्य इकाई होता है।
मिट्ठू,93.0,NOUN,मेरा तोता मिट्ठू बहुत प्यारा है।
तत,93.0,PRON,तत में सारे ज्ञान का संपूर्ण सार है।
वर्णन,93.0,NOUN,आपके लेख का वर्णन बहुत ही प्रभावशाली था।
जगह,93.0,NOUN,यह जगह बहुत ही शांत और सुंदर है।
आता,93.0,VERB,वह यहाँ रोज़ सुबह आ जाता है।
देखने,92.0,VERB,आज रात आसमान में चाँद देखने का मन है।
गाँव,92.0,NOUN,यह गाँव बहुत सुंदर और शांतिपूर्ण है।
लिया,92.0,VERB,उसने सारी जिम्मेदारियाँ अपने हाथ में ले लिया।
इसमें,91.0,PRON,इसमें बहुत सारे रोचक तथ्य हैं।
होगी,91.0,VERB,शाम को पार्टी में दादी भी होंगी।
बादल,91.0,NOUN,आसमान में काले बादल छाए हुए हैं।
पद,90.0,NOUN,उन्हें कंपनी में एक ऊंचा पद मिला है।
गोपालप्रसाद,90.0,NOUN,गोपालप्रसाद हमारे स्कूल के सर्वश्रेष्ठ शिक्षक हैं।
प्रस्तुत,90.0,VERB,आपका विचार बहुत अच्छी तरह से प्रस्तुत किया गया था।
ध्व,90.0,NOUN,ध्व का अध्ययन ध्वनि विज्ञान में किया जाता है।
word,,pos,example_sentence
रोचक,90.0,ADJ,यह पुस्तक बहुत रोचक है।
छोटा,89.0,ADJ,वह एक छोटा बच्चा है।
श,89.0,NOUN,श के बिना यह शब्द अधूरा है।
प्रकृति,89.0,NOUN,प्रकृति हमें शांति देती है।
प्रयास,89.0,NOUN,उसने सफल होने के लिए बहुत प्रयास किया।
